Date,Product,Category,Region,Quantity,Sales,Profit
2026-01-05,Laptop,Electronics,Dhaka,2,180000,30000
2026-01-12,Phone,Electronics,Rajshahi,5,150000,25000
2026-01-20,Headphone,Accessories,Chittagong,8,24000,6000
2026-02-03,Laptop,Electronics,Dhaka,3,270000,45000
2026-02-15,Tablet,Electronics,Sylhet,4,120000,20000
2026-02-25,Phone,Electronics,Rajshahi,6,180000,30000
2026-03-02,Headphone,Accessories,Dhaka,10,30000,9000
2026-03-18,Laptop,Electronics,Chittagong,2,190000,35000
2026-03-28,Phone,Electronics,Sylhet,7,210000,35000
2026-04-07,Tablet,Electronics,Rajshahi,5,150000,25000
2026-04-16,Laptop,Electronics,Dhaka,4,360000,60000
2026-04-25,Headphone,Accessories,Chittagong,12,36000,9000
2026-05-04,Phone,Electronics,Sylhet,8,240000,40000
2026-05-15,Laptop,Electronics,Dhaka,3,285000,50000
2026-05-27,Tablet,Electronics,Rajshahi,6,180000,30000
2026-06-06,Headphone,Accessories,Chittagong,5,45000,12000
2026-06-18,Phone,Electronics,Sylhet,15,270000,45000
2026-06-29,Laptop,Electronics,Dhaka,9,180000,30000
